2.5;[1, 0];[];[];[]
3.5;[0];[2, 0];[];[]
4.5;[0];[0];[3, 0];[]
5.5;[0];[0];[0];[4, 0]
5.0;[1, 0];[1];[];[]
6.0;[1, 0];[2, 0];[];[]
7.0;[1, 0];[0];[3, 0];[]
8.0;[1, 0];[0];[0];[4, 0]
7.0;[0];[2, 0];[2];[]
8.0;[0];[2, 0];[3, 0];[]
9.0;[0];[2, 0];[0];[4, 0]
9.0;[0];[0];[3, 0];[3]
10.0;[0];[0];[3, 0];[4, 0]
7.5;[1, 0];[1, 1, 0];[];[]
8.5;[1, 0];[1];[2, 0];[]
9.5;[1, 0];[1, 0];[3, 0];[]
10.5;[1, 0];[1, 0];[0];[4, 0]
9.5;[1, 0];[2, 0];[2];[]
10.5;[1, 0];[2, 0];[3, 0];[]
11.5;[1, 0];[2, 0];[0];[4, 0]
11.5;[1, 0];[0];[3, 0];[3]
12.5;[1, 0];[0];[3, 0];[4, 0]
10.5;[0];[2, 0];[2];[2]
11.5;[0];[2, 0];[2];[3, 0]
12.5;[0];[2, 0];[2, 0];[4, 0]
12.5;[0];[2, 0];[3, 0];[3]
13.5;[0];[2, 0];[3, 0];[4, 0]
10.0;[1, 0];[1, 1, 0];[1];[]
11.0;[1, 0];[1, 1, 0];[2];[]
12.0;[1, 0];[1, 1, 0];[3, 0];[]
13.0;[1, 0];[1, 1, 0];[0];[4, 0]
12.0;[1, 0];[1];[2, 0];[2]
13.0;[1, 0];[1];[2, 0];[3, 0]
14.0;[1, 0];[1, 0];[2, 0];[4, 0]
14.0;[1, 0];[1, 0];[3, 0];[3]
15.0;[1, 0];[1, 0];[3, 0];[4, 0]
13.0;[1, 0];[2, 0];[2];[2]
14.0;[1, 0];[2, 0];[2];[3, 0]
15.0;[1, 0];[2, 0];[2, 0];[4, 0]
15.0;[1, 0];[2, 0];[3, 0];[3]
16.0;[1, 0];[2, 0];[3, 0];[4, 0]
14.0;[0];[2, 0];[2, 0];[2, 2, 0]
15.0;[0];[2, 0];[3, 0];[2, 2, 0]
12.5;[1, 0];[1, 1, 0];[1, 1];[]
13.5;[1, 0];[1, 1, 0];[1, 2, 0];[]
14.5;[1, 0];[1, 1, 0];[1];[3, 0]
15.5;[1, 0];[1, 1, 0];[1, 0];[4, 0]
14.5;[1, 0];[1, 1, 0];[2];[2]
15.5;[1, 0];[1, 1, 0];[2];[3, 0]
16.5;[1, 0];[1, 1, 0];[2, 0];[4, 0]
16.5;[1, 0];[1, 1, 0];[3, 0];[3]
17.5;[1, 0];[1, 1, 0];[3, 0];[4, 0]
15.5;[1, 0];[1, 0];[2, 0];[2, 2, 0]
16.5;[1, 0];[1, 0];[3, 0];[2, 2, 0]
17.5;[1, 0];[2, 0];[1, 2, 0];[4, 0]
17.5;[1, 0];[2, 0];[3, 0];[1, 3, 0]
16.5;[1, 0];[2, 0];[2, 0];[2, 2, 0]
17.5;[1, 0];[2, 0];[3, 0];[2, 2, 0]
15.0;[1, 0];[1, 1, 0];[1, 1, 1, 0];[]
16.0;[1, 0];[1, 1, 0];[1, 1];[2]
17.0;[1, 0];[1, 1, 0];[1, 1];[3, 0]
18.0;[1, 0];[1, 1, 0];[1, 1, 0];[4, 0]
17.0;[1, 0];[1, 1, 0];[1, 2, 0];[2]
18.0;[1, 0];[1, 1, 0];[1, 2, 0];[3]
19.0;[1, 0];[1, 1, 0];[1, 2, 0];[4, 0]
19.0;[1, 0];[1, 1, 0];[3, 0];[1, 3, 0]
18.0;[1, 0];[1, 1, 0];[2, 0];[2, 2, 0]
19.0;[1, 0];[1, 1, 0];[3, 0];[2, 2, 0]
19.0;[1, 0];[2, 0];[1, 2, 0];[2, 2, 0]
17.5;[1, 0];[1, 1, 0];[1, 1, 1, 0];[1]
18.5;[1, 0];[1, 1, 0];[1, 1, 1, 0];[2]
19.5;[1, 0];[1, 1, 0];[1, 1, 1, 0];[3]
19.5;[1, 0];[1, 1, 0];[1, 2, 0];[1, 2]
18.0;[1, 0];[2, 0];[1, 2, 0];[1, 2]
16.5;[1, 0];[2, 0];[1, 2, 0];[3]
15.5;[1, 0];[2, 0];[1, 2, 0];[2]
17.5;[1, 0];[1, 1, 0];[1, 1];[1, 1]
15.0;[1, 0];[1, 1, 0];[1, 1];[1]
13.5;[1, 0];[1, 1, 0];[1];[2, 0]
10.0;[1, 0];[1];[1];[1]
7.5;[1, 0];[1];[1];[]
